months,date,effective_rate,'04-'06,'15-'18,'22-present,'87-'89,'94-'95,'99-'00
0,January 1994,3.05,,,,,0.0,
0,January 1999,4.63,,,,,,0.0
0,January 2022,0.08,,,0.0,,,
0,May 2004,1.0,0.0,,,,,
0,November 2015,0.12,,0.0,,,,
0,October 1986,5.85,,,,0.0,,
1,December 2015,0.24,,0.12,,,,
1,February 1994,3.25,,,,,0.2,
1,February 1999,4.76,,,,,,0.13
1,February 2022,0.08,,,0.0,,,
1,June 2004,1.03,0.03,,,,,
1,November 1986,6.04,,,,0.19,,
2,December 1986,6.91,,,,1.06,,
2,January 2016,0.34,,0.22,,,,
2,July 2004,1.26,0.26,,,,,
2,March 1994,3.34,,,,,0.29,
2,March 1999,4.81,,,,,,0.18
2,March 2022,0.2,,,0.12,,,
3,April 1994,3.56,,,,,0.51,
3,April 1999,4.74,,,,,,0.11
3,April 2022,0.33,,,0.25,,,
3,August 2004,1.43,0.43,,,,,
3,February 2016,0.38,,0.26,,,,
3,January 1987,6.43,,,,0.58,,
4,February 1987,6.1,,,,0.25,,
4,March 2016,0.36,,0.24,,,,
4,May 1994,4.01,,,,,0.96,
4,May 1999,4.74,,,,,,0.11
4,May 2022,0.77,,,0.69,,,
4,September 2004,1.61,0.61,,,,,
5,April 2016,0.37,,0.25,,,,
5,June 1994,4.25,,,,,1.2,
5,June 1999,4.76,,,,,,0.13
5,June 2022,1.21,,,1.13,,,
5,March 1987,6.13,,,,0.28,,
5,October 2004,1.76,0.76,,,,,
6,April 1987,6.37,,,,0.52,,
6,July 1994,4.26,,,,,1.21,
6,July 1999,4.99,,,,,,0.36
6,July 2022,1.68,,,1.6,,,
6,May 2016,0.37,,0.25,,,,
6,November 2004,1.93,0.93,,,,,
7,August 1994,4.47,,,,,1.42,
7,August 1999,5.07,,,,,,0.44
7,August 2022,2.33,,,2.25,,,
7,December 2004,2.16,1.16,,,,,
7,June 2016,0.38,,0.26,,,,
7,May 1987,6.85,,,,1.0,,
8,January 2005,2.28,1.28,,,,,
8,July 2016,0.39,,0.27,,,,
8,June 1987,6.73,,,,0.88,,
8,September 1994,4.73,,,,,1.68,
8,September 1999,5.22,,,,,,0.59
8,September 2022,2.56,,,2.48,,,
9,August 2016,0.4,,0.28,,,,
9,February 2005,2.5,1.5,,,,,
9,July 1987,6.58,,,,0.73,,
9,October 1994,4.76,,,,,1.71,
9,October 1999,5.2,,,,,,0.57
9,October 2022,3.08,,,3.0,,,
10,August 1987,6.73,,,,0.88,,
10,March 2005,2.63,1.63,,,,,
10,November 1994,5.29,,,,,2.24,
10,November 1999,5.42,,,,,,0.79
10,November 2022,3.78,,,3.7,,,
10,September 2016,0.4,,0.28,,,,
11,April 2005,2.79,1.79,,,,,
11,December 1994,5.45,,,,,2.4,
11,December 1999,5.3,,,,,,0.67
11,December 2022,4.1,,,4.02,,,
11,October 2016,0.4,,0.28,,,,
11,September 1987,7.22,,,,1.37,,
12,January 1995,5.53,,,,,2.48,
12,January 2000,5.45,,,,,,0.82
12,January 2023,4.33,,,4.25,,,
12,May 2005,3.0,2.0,,,,,
12,November 2016,0.41,,0.29,,,,
12,October 1987,7.29,,,,1.44,,
13,December 2016,0.54,,0.42,,,,
13,February 1995,5.92,,,,,2.87,
13,February 2000,5.73,,,,,,1.1
13,February 2023,4.57,,,4.49,,,
13,June 2005,3.04,2.04,,,,,
13,November 1987,6.69,,,,0.84,,
14,December 1987,6.77,,,,0.92,,
14,January 2017,0.65,,0.53,,,,
14,July 2005,3.26,2.26,,,,,
14,March 1995,5.98,,,,,2.93,
14,March 2000,5.85,,,,,,1.22
14,March 2023,4.65,,,4.57,,,
15,April 1995,6.05,,,,,3.0,
15,April 2000,6.02,,,,,,1.39
15,April 2023,4.83,,,4.75,,,
15,August 2005,3.5,2.5,,,,,
15,February 2017,0.66,,0.54,,,,
15,January 1988,6.83,,,,0.98,,
16,February 1988,6.58,,,,0.73,,
16,March 2017,0.79,,0.67,,,,
16,May 2000,6.27,,,,,,1.64
