year,counterpart_area,income_level,Africa,Other
2021,World Bank-IDA,Low income,0.8,
2020,World Bank-IDA,Low income,0.865,
2019,World Bank-IDA,Low income,0.789,
2018,World Bank-IDA,Low income,1.058,
2017,World Bank-IDA,Low income,1.108,
2016,World Bank-IDA,Low income,0.765,
2015,World Bank-IDA,Low income,0.75,
2014,World Bank-IDA,Low income,0.75,
2013,World Bank-IDA,Low income,0.75,
2012,World Bank-IDA,Low income,0.75,
2011,World Bank-IDA,Low income,0.75,
2010,World Bank-IDA,Low income,0.75,
2009,World Bank-IDA,Low income,0.75,
2008,World Bank-IDA,Low income,0.75,0.75
2007,World Bank-IDA,Low income,0.75,0.75
2006,World Bank-IDA,Low income,0.75,0.75
2005,World Bank-IDA,Low income,0.75,0.75
2004,World Bank-IDA,Low income,0.75,0.75
2003,World Bank-IDA,Low income,0.75,0.75
2002,World Bank-IDA,Low income,0.753,0.75
2001,World Bank-IDA,Low income,0.75,0.75
2000,World Bank-IDA,Low income,0.75,0.75
2001,World Bank-IBRD,Low income,5.82,
2021,European Investment Bank,Low income,1.37,
2020,European Investment Bank,Low income,1.131,
2019,European Investment Bank,Low income,1.578,
2018,European Investment Bank,Low income,0.862,
2017,European Investment Bank,Low income,0.824,
2016,European Investment Bank,Low income,1.171,
2015,European Investment Bank,Low income,0.745,
2014,European Investment Bank,Low income,0.809,
2013,European Investment Bank,Low income,1.8,
2012,European Investment Bank,Low income,1.522,
2011,European Investment Bank,Low income,1.656,
2010,European Investment Bank,Low income,3.0,
2009,European Investment Bank,Low income,1.996,
2008,European Investment Bank,Low income,1.55,1.441
2006,European Investment Bank,Low income,2.352,
2005,European Investment Bank,Low income,1.9,
2004,European Investment Bank,Low income,1.0,
2003,European Investment Bank,Low income,1.0,
2002,European Investment Bank,Low income,2.25,
2001,European Investment Bank,Low income,1.314,
2011,European Development Fund (EDF),Low income,1.0,
2009,European Development Fund (EDF),Low income,0.775,
2008,European Development Fund (EDF),Low income,1.9,
2005,European Development Fund (EDF),Low income,0.5,
2021,Bondholders,Low income,5.123,
2020,Bondholders,Low income,3.769,
2019,Bondholders,Low income,3.832,
2018,Bondholders,Low income,3.0,
2017,Bondholders,Low income,3.0,
2015,Bondholders,Low income,8.933,
2014,Bondholders,Low income,7.511,
2013,Bondholders,Low income,6.399,
2012,Bondholders,Low income,5.375,
2021,African Export-Import Bank,Low income,0.088,
2018,African Export-Import Bank,Low income,7.0,
2021,African Dev. Bank,Low income,1.141,
2020,African Dev. Bank,Low income,0.855,
2019,African Dev. Bank,Low income,1.137,
2018,African Dev. Bank,Low income,0.558,
2017,African Dev. Bank,Low income,0.9,
2016,African Dev. Bank,Low income,0.839,
2015,African Dev. Bank,Low income,0.703,
2014,African Dev. Bank,Low income,0.725,
2013,African Dev. Bank,Low income,0.763,
2012,African Dev. Bank,Low income,0.701,
2011,African Dev. Bank,Low income,0.724,
2010,African Dev. Bank,Low income,0.75,
2009,African Dev. Bank,Low income,0.75,
2008,African Dev. Bank,Low income,0.75,
2007,African Dev. Bank,Low income,0.75,
2006,African Dev. Bank,Low income,0.75,
2005,African Dev. Bank,Low income,0.75,
2004,African Dev. Bank,Low income,0.769,
2003,African Dev. Bank,Low income,0.763,
2002,African Dev. Bank,Low income,0.766,
2001,African Dev. Bank,Low income,0.792,
2000,African Dev. Bank,Low income,0.75,
2021,World Bank-IDA,Lower middle income,1.36,1.698
2020,World Bank-IDA,Lower middle income,1.612,1.577
2019,World Bank-IDA,Lower middle income,1.513,1.907
2018,World Bank-IDA,Lower middle income,1.475,1.549
2017,World Bank-IDA,Lower middle income,1.999,1.812
2016,World Bank-IDA,Lower middle income,1.39,1.889
2015,World Bank-IDA,Lower middle income,1.218,1.43
2014,World Bank-IDA,Lower middle income,1.218,1.632
2013,World Bank-IDA,Lower middle income,0.757,1.619
2012,World Bank-IDA,Lower middle income,0.755,1.766
2011,World Bank-IDA,Lower middle income,0.75,0.75
2010,World Bank-IDA,Lower middle income,0.799,0.821
2009,World Bank-IDA,Lower middle income,0.781,0.75
2008,World Bank-IDA,Lower middle income,0.75,0.75
2007,World Bank-IDA,Lower middle income,0.918,0.935
2006,World Bank-IDA,Lower middle income,0.75,0.75
2005,World Bank-IDA,Lower middle income,0.75,0.75
2004,World Bank-IDA,Lower middle income,0.75,0.75
2003,World Bank-IDA,Lower middle income,0.75,0.75
2002,World Bank-IDA,Lower middle income,0.75,0.75
2001,World Bank-IDA,Lower middle income,0.75,0.75
2000,World Bank-IDA,Lower middle income,0.75,0.75
2021,World Bank-IBRD,Lower middle income,1.158,1.089
2020,World Bank-IBRD,Lower middle income,1.416,1.289
2019,World Bank-IBRD,Lower middle income,2.623,3.181
2018,World Bank-IBRD,Lower middle income,2.353,2.737
2017,World Bank-IBRD,Lower middle income,1.902,2.137
2016,World Bank-IBRD,Lower middle income,2.188,1.819
2015,World Bank-IBRD,Lower middle income,1.325,1.189
2014,World Bank-IBRD,Lower middle income,0.764,0.513
2013,World Bank-IBRD,Lower middle income,0.688,0.737
2012,World Bank-IBRD,Lower middle income,1.009,1.118
2011,World Bank-IBRD,Lower middle income,0.844,0.89
2010,World Bank-IBRD,Lower middle income,0.837,0.865
2009,World Bank-IBRD,Lower middle income,1.183,1.272
2008,World Bank-IBRD,Lower middle income,3.206,2.551
2007,World Bank-IBRD,Lower middle income,4.779,3.954
2006,World Bank-IBRD,Lower middle income,5.502,5.959
2005,World Bank-IBRD,Lower middle income,3.179,4.477
2004,World Bank-IBRD,Lower middle income,1.952,2.608
2003,World Bank-IBRD,Lower middle income,1.825,2.373
2002,World Bank-IBRD,Lower middle income,2.758,3.974
2001,World Bank-IBRD,Lower middle income,3.992,4.437
2000,World Bank-IBRD,Lower middle income,7.667,7.564
2021,European Union,Lower middle income,,0.25
2020,European Union,Lower middle income,,0.18
2018,European Union,Lower middle income,,1.25
2017,European Union,Lower middle income,0.75,
2015,European Union,Lower middle income,,0.5
2014,European Union,Lower middle income,,0.958
2013,European Union,Lower middle income,,0.89
2021,European Investment Bank,Lower middle income,0.445,0.822
2020,European Investment Bank,Lower middle income,0.545,0.052
2019,European Investment Bank,Lower middle income,1.638,0.806
2018,European Investment Bank,Lower middle income,1.627,1.458
2017,European Investment Bank,Lower middle income,0.861,0.343
2016,European Investment Bank,Lower middle income,1.36,0.654
2015,European Investment Bank,Lower middle income,0.714,1.189
2014,European Investment Bank,Lower middle income,1.035,0.783
2013,European Investment Bank,Lower middle income,0.752,1.159
2012,European Investment Bank,Lower middle income,2.174,1.755
2011,European Investment Bank,Lower middle income,2.548,2.644
2010,European Investment Bank,Lower middle income,2.822,0.243
