indicator,date,value,iso_code
Food Inflation,2008-01-31,5.1,ALB
Food Inflation,2008-02-29,6.8,ALB
Food Inflation,2008-03-31,8.1,ALB
Food Inflation,2008-04-30,8.0,ALB
Food Inflation,2008-05-31,7.4,ALB
Food Inflation,2008-06-30,6.3,ALB
Food Inflation,2008-07-31,5.8,ALB
Food Inflation,2008-08-31,2.9,ALB
Food Inflation,2008-09-30,3.0,ALB
Food Inflation,2008-10-31,4.2,ALB
Food Inflation,2008-11-30,4.1,ALB
Food Inflation,2008-12-31,3.6,ALB
Food Inflation,2009-01-31,4.1,ALB
Food Inflation,2009-02-28,3.0,ALB
Food Inflation,2009-03-31,3.7,ALB
Food Inflation,2009-04-30,4.3,ALB
Food Inflation,2009-05-31,5.2,ALB
Food Inflation,2009-06-30,6.2,ALB
Food Inflation,2009-07-31,5.8,ALB
Food Inflation,2009-08-31,5.8,ALB
Food Inflation,2009-09-30,5.3,ALB
Food Inflation,2009-10-31,4.9,ALB
Food Inflation,2009-11-30,5.7,ALB
Food Inflation,2009-12-31,7.0,ALB
Food Inflation,2010-01-31,6.8,ALB
Food Inflation,2010-02-28,7.8,ALB
Food Inflation,2010-03-31,6.2,ALB
Food Inflation,2010-04-30,4.9,ALB
Food Inflation,2010-05-31,8.7,ALB
Food Inflation,2010-06-30,3.5,ALB
Food Inflation,2010-07-31,4.2,ALB
Food Inflation,2010-08-31,4.4,ALB
Food Inflation,2010-09-30,4.3,ALB
Food Inflation,2010-10-31,4.2,ALB
Food Inflation,2010-11-30,3.7,ALB
Food Inflation,2010-12-31,4.7,ALB
Food Inflation,2011-01-31,4.6,ALB
Food Inflation,2011-02-28,7.2,ALB
Food Inflation,2011-03-31,6.4,ALB
Food Inflation,2011-04-30,6.2,ALB
Food Inflation,2011-05-31,1.8,ALB
Food Inflation,2011-06-30,5.8,ALB
Food Inflation,2011-07-31,5.5,ALB
Food Inflation,2011-08-31,4.4,ALB
Food Inflation,2011-09-30,3.3,ALB
Food Inflation,2011-10-31,3.9,ALB
Food Inflation,2011-11-30,3.5,ALB
Food Inflation,2011-12-31,1.1,ALB
Food Inflation,2012-01-31,1.3,ALB
Food Inflation,2012-02-29,-1.4,ALB
Food Inflation,2012-03-31,-0.1,ALB
Food Inflation,2012-04-30,1.1,ALB
Food Inflation,2012-05-31,1.9,ALB
Food Inflation,2012-06-30,2.8,ALB
Food Inflation,2012-07-31,4.2,ALB
Food Inflation,2012-08-31,4.3,ALB
Food Inflation,2012-09-30,4.3,ALB
Food Inflation,2012-10-31,3.4,ALB
Food Inflation,2012-11-30,3.4,ALB
Food Inflation,2012-12-31,3.6,ALB
Food Inflation,2013-01-31,4.5,ALB
Food Inflation,2013-02-28,4.9,ALB
Food Inflation,2013-03-31,5.7,ALB
Food Inflation,2013-04-30,5.8,ALB
Food Inflation,2013-05-31,5.0,ALB
Food Inflation,2013-06-30,5.5,ALB
Food Inflation,2013-07-31,4.1,ALB
Food Inflation,2013-08-31,2.8,ALB
Food Inflation,2013-09-30,3.9,ALB
Food Inflation,2013-10-31,3.7,ALB
Food Inflation,2013-11-30,2.2,ALB
Food Inflation,2013-12-31,3.7,ALB
Food Inflation,2014-01-31,2.8,ALB
Food Inflation,2014-02-28,3.1,ALB
Food Inflation,2014-03-31,3.0,ALB
Food Inflation,2014-04-30,1.9,ALB
Food Inflation,2014-05-31,2.3,ALB
Food Inflation,2014-06-30,2.3,ALB
Food Inflation,2014-07-31,2.9,ALB
Food Inflation,2014-08-31,3.4,ALB
Food Inflation,2014-09-30,2.3,ALB
Food Inflation,2014-10-31,1.8,ALB
Food Inflation,2014-11-30,2.3,ALB
Food Inflation,2014-12-31,0.5,ALB
Food Inflation,2015-01-31,2.4,ALB
Food Inflation,2015-02-28,5.1,ALB
Food Inflation,2015-03-31,4.9,ALB
Food Inflation,2015-04-30,5.5,ALB
Food Inflation,2015-05-31,4.0,ALB
Food Inflation,2015-06-30,2.9,ALB
Food Inflation,2015-07-31,2.5,ALB
Food Inflation,2015-08-31,4.4,ALB
Food Inflation,2015-09-30,5.1,ALB
Food Inflation,2015-10-31,5.7,ALB
Food Inflation,2015-11-30,6.1,ALB
Food Inflation,2015-12-31,5.3,ALB
Food Inflation,2016-01-31,4.5,ALB
Food Inflation,2016-02-29,2.3,ALB
Food Inflation,2016-03-31,2.4,ALB
Food Inflation,2016-04-30,2.1,ALB
Food Inflation,2016-05-31,2.4,ALB
Food Inflation,2016-06-30,2.9,ALB
Food Inflation,2016-07-31,4.6,ALB
Food Inflation,2016-08-31,5.0,ALB
Food Inflation,2016-09-30,3.9,ALB
Food Inflation,2016-10-31,3.3,ALB
Food Inflation,2016-11-30,3.4,ALB
Food Inflation,2016-12-31,4.8,ALB
Food Inflation,2017-01-31,6.2,ALB
Food Inflation,2017-02-28,4.2,ALB
Food Inflation,2017-03-31,3.6,ALB
Food Inflation,2017-04-30,3.2,ALB
Food Inflation,2017-05-31,4.0,ALB
Food Inflation,2017-06-30,5.4,ALB
Food Inflation,2017-07-31,4.9,ALB
Food Inflation,2017-08-31,3.5,ALB
Food Inflation,2017-09-30,3.7,ALB
Food Inflation,2017-10-31,4.3,ALB
Food Inflation,2017-11-30,4.0,ALB
Food Inflation,2017-12-31,3.0,ALB
Food Inflation,2018-01-31,2.2,ALB
Food Inflation,2018-02-28,2.8,ALB
Food Inflation,2018-03-31,3.2,ALB
Food Inflation,2018-04-30,3.3,ALB
Food Inflation,2018-05-31,3.0,ALB
Food Inflation,2018-06-30,3.3,ALB
Food Inflation,2018-07-31,3.1,ALB
Food Inflation,2018-08-31,3.0,ALB
Food Inflation,2018-09-30,2.8,ALB
Food Inflation,2018-10-31,1.9,ALB
Food Inflation,2018-11-30,2.2,ALB
Food Inflation,2018-12-31,3.1,ALB
Food Inflation,2019-01-31,4.6,ALB
Food Inflation,2019-02-28,4.0,ALB
Food Inflation,2019-03-31,2.2,ALB
Food Inflation,2019-04-30,2.9,ALB
Food Inflation,2019-05-31,3.3,ALB
Food Inflation,2019-06-30,2.9,ALB
Food Inflation,2019-07-31,3.0,ALB
Food Inflation,2019-08-31,2.6,ALB
Food Inflation,2019-09-30,2.6,ALB
Food Inflation,2019-10-31,3.2,ALB
Food Inflation,2019-11-30,3.4,ALB
Food Inflation,2019-12-31,2.7,ALB
Food Inflation,2020-01-31,2.7,ALB
Food Inflation,2020-02-29,2.2,ALB
Food Inflation,2020-03-31,5.1,ALB
Food Inflation,2020-04-30,4.7,ALB
Food Inflation,2020-05-31,5.2,ALB
Food Inflation,2020-06-30,4.4,ALB
Food Inflation,2020-07-31,3.3,ALB
Food Inflation,2020-08-31,3.3,ALB
Food Inflation,2020-09-30,4.0,ALB
Food Inflation,2020-10-31,5.2,ALB
Food Inflation,2020-11-30,4.1,ALB
Food Inflation,2020-12-31,2.7,ALB
Food Inflation,2021-01-31,1.2,ALB
Food Inflation,2021-02-28,3.4,ALB
Food Inflation,2021-03-31,3.2,ALB
Food Inflation,2021-04-30,4.8,ALB
Food Inflation,2021-05-31,4.0,ALB
Food Inflation,2021-06-30,2.8,ALB
Food Inflation,2021-07-31,4.4,ALB
Food Inflation,2021-08-31,4.9,ALB
Food Inflation,2021-09-30,4.9,ALB
Food Inflation,2021-10-31,4.1,ALB
Food Inflation,2021-11-30,5.4,ALB
Food Inflation,2021-12-31,6.8,ALB
Food Inflation,2022-01-31,7.2,ALB
Food Inflation,2022-02-28,7.3,ALB
Food Inflation,2022-03-31,9.7,ALB
Food Inflation,2022-04-30,10.4,ALB
Food Inflation,2022-05-31,11.8,ALB
Food Inflation,2022-06-30,13.2,ALB
Food Inflation,2022-07-31,13.9,ALB
Food Inflation,2022-08-31,14.9,ALB
Food Inflation,2022-09-30,14.6,ALB
Food Inflation,2022-10-31,15.2,ALB
Food Inflation,2022-11-30,15.3,ALB
Food Inflation,2022-12-31,14.8,ALB
Food Inflation,2023-01-31,13.9,ALB
Food Inflation,2023-02-28,14.0,ALB
Food Inflation,2023-03-31,11.5,ALB
Food Inflation,2023-04-30,10.1,ALB
Food Inflation,2023-05-31,10.6,ALB
Food Inflation,2023-06-30,10.9,ALB
Food Inflation,2023-07-31,9.5,ALB
Food Inflation,2023-08-31,7.9,ALB
Food Inflation,2023-09-30,8.3,ALB
Food Inflation,2023-10-31,7.8,ALB
Food Inflation,2023-11-30,7.5,ALB
Food Inflation,2023-12-31,7.0,ALB
Food Inflation,2024-01-31,5.6,ALB
Food Inflation,2024-02-29,2.8,ALB
Inflation Rate,1990-12-31,2.49,ALB
Inflation Rate,1991-12-31,104.05,ALB
Inflation Rate,1992-12-31,236.58,ALB
Inflation Rate,1993-01-31,226.85,ALB
Inflation Rate,1993-02-28,198.67,ALB
Inflation Rate,1993-03-31,170.81,ALB
Inflation Rate,1993-04-30,148.22,ALB
Inflation Rate,1993-05-31,129.15,ALB
Inflation Rate,1993-06-30,116.94,ALB
Inflation Rate,1993-07-31,119.47,ALB
Inflation Rate,1993-08-31,52.59,ALB
Inflation Rate,1993-09-30,48.73,ALB
Inflation Rate,1993-10-31,36.03,ALB
Inflation Rate,1993-11-30,32.26,ALB
Inflation Rate,1993-12-31,30.94,ALB
Inflation Rate,1994-01-31,25.1,ALB
Inflation Rate,1994-02-28,21.93,ALB
Inflation Rate,1994-03-31,21.65,ALB
Inflation Rate,1994-04-30,32.77,ALB
Inflation Rate,1994-05-31,35.73,ALB
Inflation Rate,1994-06-30,37.78,ALB
Inflation Rate,1994-07-31,23.52,ALB
Inflation Rate,1994-08-31,19.46,ALB
Inflation Rate,1994-09-30,14.73,ALB
Inflation Rate,1994-10-31,13.69,ALB
Inflation Rate,1994-11-30,14.0,ALB
Inflation Rate,1994-12-31,15.82,ALB
Inflation Rate,1995-01-31,15.52,ALB
Inflation Rate,1995-02-28,16.21,ALB
Inflation Rate,1995-03-31,15.84,ALB
Inflation Rate,1995-04-30,8.05,ALB
Inflation Rate,1995-05-31,5.72,ALB
Inflation Rate,1995-06-30,2.1,ALB
Inflation Rate,1995-07-31,2.14,ALB
Inflation Rate,1995-08-31,5.13,ALB
Inflation Rate,1995-09-30,6.11,ALB
Inflation Rate,1995-10-31,5.76,ALB
Inflation Rate,1995-11-30,7.29,ALB
Inflation Rate,1995-12-31,6.01,ALB
Inflation Rate,1996-01-31,6.31,ALB
Inflation Rate,1996-02-29,5.71,ALB
Inflation Rate,1996-03-31,7.03,ALB
Inflation Rate,1996-04-30,6.79,ALB
Inflation Rate,1996-05-31,8.42,ALB
Inflation Rate,1996-06-30,9.6,ALB
Inflation Rate,1996-07-31,16.21,ALB
Inflation Rate,1996-08-31,17.98,ALB
Inflation Rate,1996-09-30,19.61,ALB
Inflation Rate,1996-10-31,20.73,ALB
Inflation Rate,1996-11-30,17.43,ALB
